name,average
Airabella Koontz,3.6
Hailey Malle,2.85
Devon Miranda,3.05
Danielle Nguyen,3.35
Mateo Cisneros,3.325
William Pablo,3.325
Jason Hundsdorfer,4.2
Antonio Desai,3.25
Rachel Bakeman,4.1
Mamdooh el-Moustafa,3.5
Lindsey Carter,4.0
Duncan Kruse,4.05
Callahan Foster,3.775
Jamie Ortiz,3.175
Ryan Barrett,3.975
Samuel Palmer,3.875
Riley Mcloughlin,3.875
Aimee Apelyan,3.9749999999999996
Maryah Falloon,4.125
Lucille Mitchell,3.675
Christian Zambrano-Munoz,3.65
Bryce Vaillancourt,3.65
Brandilyn Collins,3.725
Konner Gearhart,3.975
Andrew Houghton,3.8
Marisa Ramey,3.75
Magdalynne Noah,3.95
Megan Salamena,3.975
Meghan Arnold,3.55
James Rice,3.725
Wesley Nunn,3.75
Gareth Newkirk,4.025
Austin Harline,3.8499999999999996
Courtney Martinez,3.5250000000000004
Alexandra Graham,3.675
Alexander Swearingen,3.925
Brandy Waldner,3.4
Coleman Keelen,3.7
Casey Buhr,3.6
Shauna Sneed,3.7750000000000004
Caitlin Dean,3.925
Andrew Kirin,3.5
Nadia Minks,3.6
Ivy Lucero,3.425
Kevin Curry,3.9
Charles Cramer,3.85
Emily Warner,3.9
Mckenzie Haycock,3.7
Faviola Soto,3.85
Stephen Wharton,3.4
Alexandria Fortner,4.125
Savannah Kivett,4.125
Tanner Jones,4.075
Luisa Bautista,3.175
Juhaina al-Bilal,4.175
Siena Ingram,4.075
Alondra Gardea Corral,2.775
Vincent Webster,3.525
Abdul Jabbaar el-Abdul,2.8
Patrick Carnes,3.625
Shawn O Bryan,3.275
Jenna Whitney,3.875
Kaitlin Krueger,4.15
Jaime Mikesell,4.075
Katelynn Andrie,3.95
Maryn Manzanares,3.825
Colleen Kohout,3.85
Daniel Spurlin,4.125
Trevor Bulba,4.125
Jordan Burkhamer,3.9
Rebecca Ah Fat,3.4
Christopher Jacobo,3.75
Min Singal,3.4
Corey Rademacher,3.325
Alexander Reed,3.625
Dalen Whiting,3.75
Chelsea Persky,4.075
Karla Taylor,3.6
Kaden Yates,4.0
Maimoona el-Soliman,3.075
Aaqil el-Hashemi,3.25
Sean Bruso,3.95
Andrew Bishop,4.125
Zahraaa el-Yousef,3.85
Surya Ky,3.875
George Mann,3.95
Latino Calderon,3.15
Baylen Cloutier,4.0
Nicole Torres-Valadez,2.75
Addie Villavicencio,3.925
Billy Jack Bestle,4.125
Isabella Martinez,3.325
Kimberly Thielke,4.0
Adrian Miguel-Gomez,3.3
Kayla Sales,3.55
Haafiza al-Attar,3.2
Juanita Medina,3.85
Emma Kim,3.125
Mckayla Dopler,3.425
Jonathan Nevarez,3.475
Roger Redfern,3.975
Hannah Critchfield,3.85
Chue Fue Richter,3.0
Joshua Mesan,4.125
Dylan Bell,3.9
Troy White,4.0
Sabaaha al-Latif,3.1
Grant Walden,3.8499999999999996
Kitty Nguyen,3.375
Tyler Kibel,4.0
Kyler Overboe,3.925
Alexander Lizama,3.625
Aaron Knott,3.875
Jessica Greenberg,3.775
Lexi Hatton,3.75
Jesse Hodapp,3.825
Andrew Brunelli,4.05
Makenzie Swann,3.575
Carlos Anaya,3.7750000000000004
Felipe Martinez Acosta,3.6
Emma Casias,3.7750000000000004
Adolf Malik,3.3
Christian Chow,3.475
Asad el-Yacoub,3.225
Holly Marshall,3.175
Brandilyn Hanselman,2.925
Nicole Patria,3.05
Kyler Grieshaber,4.0
Jasper Stang,3.95
Anthony Visocsky,3.7
Jake Seime,3.75
Dasha Bannock Lee,3.775
Anthony Mcdevitt,4.0
Darby Focken,3.675
Abigail Gallegos,3.125
Patricia Rockhold,3.975
Kylie Schafer,3.6
Katherine Beatty,3.825
Melissa Bickel,3.425
Rachel Boh,3.9
Anna Yoshimura,3.8
Joseph Hazelton,4.1
Tiffany Nguyen,3.275
Ryan Tyler,3.925
Max Flores,3.3
Veronica Tounzen,3.7
Haley Ingrim-Hyrup,3.6
Kayla Sandefur,3.775
Rylee Onstott,4.15
Kelli De Bartolome,3.825
Thomas Chanlynn,3.55
Andrew Yelich,3.55
Dimitri Castillo,3.425
Matthew Strasburger,3.925
Vittoria Faulkner,3.775
Tyler Goetz,3.75
Tyler Weller,3.75
Terri Mergelman,3.65
Abigail Orgeron,3.75
Jessica Huynh,2.85
Kyle Blanscet,4.0
Ronald Toth,3.725
Branden Cantrell,3.9
Hannah Ratterman,3.9
Alexandria Winter,3.7
Ryan Russell,3.775
Logan Nighswonger,3.9
Zaghlool al-Pasha,3.4749999999999996
Madeline Kremke,3.6
John Ferry,3.75
Michelle Goldanloo,3.75
Ryan Heidebrecht,4.1
Murtidevi Chung,3.075
Arely Rodriguez,3.75
Taylor Stone,3.625
Melody Bowyer,3.75
Bryant Ronquillo,3.675
Garrett Heim,3.825
Cody Amen,4.05
Jasmine Lopez,3.275
William Tierney,3.475
Matthew Sputh,3.7
Brenna Chapman,3.9
Blake Loughran,3.85
Michael Melendrez,3.85
Katie Abercrombie,4.05
Justin Krause,3.575
Jennifer Hauge,3.225
Tiffanie Her,3.5
Dyllan Paige,3.4
Cole Hathcoat,3.45
Jesse Carballo,3.9
Robert Podolski,3.6
Viridiana Ballesteros,3.55
Michael Griffin,4.25
Chad Klemp,3.875
Weldon Hightower,3.225
Daniel Pierce,3.75
Michaela Schoenbeck,4.05
Charles Prose,3.675
Brittany Kemmerzell,3.825
Taryn Springfield,3.9
Matthew Obourn,4.2
Travis Poss,3.45
Brittany Fernandez,3.625
Cody Smith,4.05
Nicolas Papp,3.825
Christopher Inhulsen,3.575
Tessa Rawanduzy,3.4
Vanessa Gonzalez,3.45
Austin Haas,3.85
Madison Fithian,4.125
Zachary Mulvahill,3.875
Eliana Michelsen,3.425
Dane Whittemore,4.0
